order_id,order_date,item_id,qty order,price,value,total,customer id,year,month,gender,city
100354678,2020-10-01,574772.0,21.0,89.9,1798.0,1798.0,60124.0,2020,Oct-2020,F,Vinson
100354678,2020-10-01,574774.0,11.0,19.0,190.0,190.0,60124.0,2020,Oct-2020,F,Vinson
100354680,2020-10-01,574777.0,9.0,149.9,1199.2,1199.2,60124.0,2020,Oct-2020,F,Vinson
100354680,2020-10-01,574779.0,9.0,79.9,639.2,639.2,60124.0,2020,Oct-2020,F,Vinson
100367357,2020-11-13,595185.0,2.0,99.9,99.9,99.9,60124.0,2020,Nov-2020,F,Vinson
100367357,2020-11-13,595186.0,2.0,39.9,39.9,39.9,60124.0,2020,Nov-2020,F,Vinson
100367360,2020-11-13,595192.0,2.0,47.6,47.6,47.6,60124.0,2020,Nov-2020,F,Vinson
100354677,2020-10-01,574769.0,2.0,49.0,49.0,49.0,42485.0,2020,Oct-2020,M,Graham
100354677,2020-10-01,574770.0,2.0,135.0,135.0,135.0,42485.0,2020,Oct-2020,M,Graham
100354677,2020-10-01,574771.0,2.0,549.9,549.9,549.9,42485.0,2020,Oct-2020,M,Graham
100356116,2020-10-08,577467.0,1.0,549.9,0.0,0.0,42485.0,2020,Oct-2020,M,Graham
100358724,2020-10-21,581862.0,1.0,549.9,0.0,0.0,42485.0,2020,Oct-2020,M,Graham
100403034,2020-12-24,656937.0,2.0,254.8,254.8,214.99372,42485.0,2020,Dec-2020,M,Graham
100403034,2020-12-24,656938.0,2.0,315.5,315.5,266.21083,42485.0,2020,Dec-2020,M,Graham
100403034,2020-12-24,656939.0,2.0,69.8,69.8,58.89545,42485.0,2020,Dec-2020,M,Graham
